Date,Temperatura (Celsius),HumedadRelativa (%),VelocidadViento (m/s),Lluvia (mm),Irradiacion (W/m2),EvapoTranspiracion (mm)
1/1/2015,"27,88","65,08","7,08","0,00","228,58","5,04"
2/1/2015,"28,06","66,21","6,47","0,00","231,17","4,86"
3/1/2015,"28,91","65,21","5,40","0,00","244,17","5,12"
4/1/2015,"28,13","67,88","6,61","0,00","182,38","4,13"
5/1/2015,"28,00","66,25","8,85","0,00","246,00","5,38"
6/1/2015,"27,68","68,00","7,40","0,00","189,46","4,23"
7/1/2015,"27,27","65,00","8,43","0,00","246,92","5,26"
8/1/2015,"27,38","64,46","7,97","0,00","247,04","5,36"
9/1/2015,"27,30","64,42","7,68","0,00","246,42","5,22"
10/1/2015,"27,80","64,38","7,68","0,00","245,08","5,24"
11/1/2015,"28,08","68,21","7,00","0,00","233,25","4,78"
12/1/2015,"28,94","66,71","6,07","0,00","243,21","5,09"
13/1/2015,"27,87","71,04","6,14","0,25","191,63","4,17"
14/1/2015,"28,60","63,08","5,27","0,00","251,67","5,33"
15/1/2015,"28,06","68,42","4,00","0,00","242,13","4,87"
16/1/2015,"27,61","68,50","7,07","0,00","201,79","4,31"
17/1/2015,"27,68","61,17","6,61","0,00","220,04","5,03"
18/1/2015,"27,22","62,92","4,87","0,00","246,67","5,21"
19/1/2015,"26,73","61,83","4,73","0,00","230,83","4,92"
20/1/2015,"25,92","71,33","3,60","0,00","182,58","3,85"
21/1/2015,"27,87","63,21","5,07","0,00","244,67","5,12"
22/1/2015,"27,05","64,50","4,07","0,00","153,79","3,48"
23/1/2015,"27,32","67,29","2,87","0,00","249,21","5,00"
24/1/2015,"26,51","67,83","3,40","0,00","255,42","5,08"
25/1/2015,"27,06","64,88","6,67","0,00","254,63","5,28"
26/1/2015,"27,22","62,04","6,28","0,00","260,96","5,50"
27/1/2015,"27,64","60,79","6,74","0,00","257,83","5,61"
28/1/2015,"26,41","61,13","5,88","0,00","257,04","5,46"
29/1/2015,"27,48","56,50","6,27","0,00","255,79","5,72"
30/1/2015,"27,01","62,96","6,56","0,00","256,54","5,53"
31/1/2015,"27,00","63,92","7,42","0,00","258,13","5,46"
1/2/2015,"28,15","62,32","6,34","0,00","247,32","5,48"
2/2/2015,"28,75","62,61","5,70","0,00","269,87","10,95"
3/2/2015,"28,44","60,88","6,68","0,00","258,17","5,73"
4/2/2015,"28,39","59,67","6,14","0,00","254,00","5,51"
5/2/2015,"27,60","67,58","4,47","0,00","257,71","5,23"
6/2/2015,"28,74","58,04","6,07","0,00","248,92","5,61"
7/2/2015,"28,12","62,46","6,40","0,00","245,50","5,19"
8/2/2015,"27,20","63,00","3,60","0,00","230,25","4,68"
9/2/2015,"25,93","73,00","1,40","0,00","238,46","4,41"
10/2/2015,"27,09","68,88","2,87","0,00","256,29","4,90"
11/2/2015,"27,83","61,13","4,53","0,00","261,92","5,40"
12/2/2015,"26,73","68,54","4,07","0,00","255,33","5,07"
13/2/2015,"27,54","62,29","5,07","0,00","261,21","5,43"
14/2/2015,"27,47","52,00","7,07","0,00","266,54","6,14"
15/2/2015,"27,80","54,63","6,20","0,00","265,29","5,94"
16/2/2015,"28,47","58,17","5,80","0,00","263,00","5,75"
17/2/2015,"27,84","61,13","3,13","0,00","250,42","5,26"
18/2/2015,"27,14","61,67","4,01","0,00","267,50","5,71"
19/2/2015,"28,66","56,88","8,70","0,00","271,50","6,36"
20/2/2015,"27,83","59,79","5,74","0,00","266,79","5,70"
21/2/2015,"26,64","65,54","6,03","0,00","266,63","5,50"
22/2/2015,"28,69","59,17","7,00","0,00","272,67","5,98"
23/2/2015,"28,78","60,71","5,81","0,00","237,21","5,35"
24/2/2015,"27,46","63,88","5,60","0,00","272,92","5,39"
25/2/2015,"28,01","59,29","3,00","0,00","273,71","5,56"
26/2/2015,"26,20","65,27","1,75","0,00","177,41","9,04"
27/2/2015,"27,28","64,25","4,40","0,00","271,33","5,71"
28/2/2015,"28,50","58,33","6,54","0,00","253,88","5,72"
1/3/2015,"28,28","64,00","7,75","0,00","174,46","4,40"
2/3/2015,"28,42","58,17","8,72","0,00","276,71","6,33"
3/3/2015,"28,42","56,13","7,34","0,00","281,54","6,25"
4/3/2015,"28,39","57,17","8,61","2,80","276,30","12,30"
5/3/2015,"29,22","55,88","8,79","0,00","273,67","6,56"
6/3/2015,"28,90","60,33","11,55","0,00","273,50","6,72"
7/3/2015,"28,06","58,00","13,83","0,00","274,17","6,92"
8/3/2015,"27,73","60,79","13,23","0,00","275,79","6,77"
9/3/2015,"28,08","60,83","12,17","0,00","275,83","6,70"
10/3/2015,"28,51","61,25","11,90","0,00","266,00","6,46"
11/3/2015,"28,73","65,13","12,57","0,00","274,17","6,52"
12/3/2015,"29,25","62,79","12,97","0,00","279,04","6,86"
13/3/2015,"28,58","59,75","14,77","0,00","282,29","7,13"
14/3/2015,"28,44","55,21","12,15","0,00","257,63","6,63"
15/3/2015,"28,45","60,13","10,82","0,00","268,88","6,45"
16/3/2015,"27,65","63,58","9,13","0,00","280,58","6,35"
17/3/2015,"28,37","51,75","11,76","0,00","276,83","7,01"
18/3/2015,"27,73","56,21","9,39","0,00","170,13","4,72"
19/3/2015,"27,73","56,67","3,80","0,00","279,58","5,87"
20/3/2015,"27,98","56,42","5,34","0,00","290,58","6,23"
21/3/2015,"27,76","55,46","4,61","0,00","291,96","6,28"
22/3/2015,"27,40","61,75","2,67","0,00","288,38","5,69"
23/3/2015,"27,73","60,71","3,20","0,00","262,00","5,48"
24/3/2015,"27,94","57,75","5,55","0,00","297,08","6,52"
25/3/2015,"29,07","52,00","6,42","0,00","297,33","6,80"
26/3/2015,"28,93","53,88","4,75","0,00","313,79","6,73"
27/3/2015,"28,26","56,67","2,73","0,00","284,17","5,84"
28/3/2015,"29,28","54,17","7,66","0,00","294,50","6,88"
29/3/2015,"29,59","51,54","8,65","0,00","290,67","7,04"
30/3/2015,"27,82","60,67","6,98","0,03","181,21","4,54"
31/3/2015,"28,29","58,71","9,13","0,00","272,21","6,35"
1/4/2015,"29,29","53,42","8,58","0,00","295,88","6,97"
2/4/2015,"29,29","53,17","8,58","0,00","298,83","7,02"
3/4/2015,"29,25","57,38","10,75","0,00","298,54","7,06"
4/4/2015,"29,26","58,67","12,43","0,00","296,25","7,23"
5/4/2015,"29,40","57,33","12,09","0,00","298,67","7,26"
6/4/2015,"29,06","56,46","11,76","0,00","299,21","7,39"
7/4/2015,"29,08","53,67","11,37","0,00","300,17","7,39"
8/4/2015,"29,28","52,92","10,88","0,00","292,67","7,33"
9/4/2015,"29,29","57,79","9,93","0,00","298,63","7,12"
10/4/2015,"29,67","57,96","10,35","0,00","296,50","7,05"
11/4/2015,"29,05","60,67","11,43","0,00","202,38","5,56"
12/4/2015,"29,43","60,13","8,25","0,00","272,88","6,37"
13/4/2015,"29,40","64,04","8,11","0,00","296,54","6,54"
14/4/2015,"29,54","63,21","7,23","0,00","277,54","6,21"
